#,App Name,Developer Email
85,RTVE Play,movil.irtve@rtve.es
86,Stremio,office@stremio.com
87,SWEET.TV - TV and movies,info@sweet.tv
88,Dropout,ottsupport@vimeo.com
89,ARTE,telespectateurs@arte.tv
90,StoRizz,support@kukufm.com
91,TV Guide,apps@fandom.com
92,ABEMA（アベマ）テレビやアニメ等の動画配信アプリ,info@support.abema.tv
93,ZDF | Streaming und Live-TV,beta@zdf.de
94,DramaShorts: Watch TV & Shows,support@dramashorts.io
95,Cinépolis Go,mobilesupport@b8technologies.com
96,JustWatch - Streaming Guide,feedback@justwatch.com
97,The CW,cwappfeedback@cwtv.com
98,JoyReels - Enjoy Short Dramas,joydream2021@gmail.com
99,"КИОН – фильмы, сериалы и тв",app@kion.ru
100,Paramount+,androidtv-feedback@paramountplus.com
101,"VTV Go - TV Mọi nơi, Mọi lúc",vietnamtelevisiondigitalcenter@gmail.com
102,Fandango - Buy Movie Tickets,androidappcomments@fandango.com
103,aha - 100% Local Entertainment,support@aha.video
104,TV 2 Play,play@tv2.no
105,OSN+,help@osnplus.com
106,The Criterion Channel,channelhelp@criterion.com
107,TrueID,TrueIDSupport@truedigital.com
108,SFR TV,support.android@sfr.com
109,"Toffee - TV, Sports & Movies",info@banglalink.net
110,DRTV,mobil@dr.dk
111,TV4 Play,feedback@tv4.se
112,hoichoi - Movies & Web Series,support@hoichoi.tv
113,"Kyivstar TV: HD movie, cartoon",apps@kyivstar.ua
114,MBC Shahid,customersupport@shahid.net
115,START: онлайн-кинотеатр,support@start.ru
116,Hallmark+,Care@hallmarkplus.com
117,MUBI: Curated Cinema,support@mubi.com
118,Watchlist Pro TV,service@watchlist-pro.com
119,ARD Mediathek,mobile-apps@ard.de
120,RaiPlay,mobile.development@rai.it
121,wako - TV & Movie Tracker,wakoapplication@gmail.com
122,Smotreshka: online TV and more,help@smotreshka.tv
123,MiniShorts,noventureofficial@gmail.com
124,KLiKK- Bengali Movies & Series,support@klikk.co.in
125,Кинопоиск,video@kinopoisk.ru
126,Antik TV,antiktv@antik.sk
127,Canon+,app@canonpress.org
128,PLAY NOW,google.play@play.pl
129,My Astro,wecare@astro.com.my
130,WATCHA,cs@watcha.com
131,Vimeo,support@vimeo.com
132,Chaupal - Movies & Web Series,contact@chaupal.tv
133,Yle Areena,areena.kehitys@yle.fi
134,"mewatch: Watch Video, Movies",tellmediacorpdigital@mediacorp.com.sg
135,bgtime.tv,support@bgtime.tv
136,SWEET.TV,info@sweet.tv
137,NRK TV,info@nrk.no
138,MTV Katsomo,mtv@mtv.fi
139,RCTI+ Superapp,cs@rctiplus.com
140,Pilot WP - TV online na żywo,kontakt@pilot.wp.pl
141,Thmanyah,najdah@thmanyah.com
142,Polsat Box Go,kontakt@cyfrowypolsat.pl
143,NLZIET | Online tv-kijken,info@nlziet.nl
144,Revival Today,support@revivaltoday.tv
145,Marquee TV - Arts on Demand,support@marquee.tv
146,"StarTimes ON-Live TV, Football",appservice@startimes.com.cn
147,TV Azteca En Vivo,appsazteca@tvazteca.com.mx
148,Web Video Cast | Browser to TV,webvideo@instantbits.com
149,FilmRise - Movies and TV Shows,biz@ifood.tv
150,Durioo+ Safe Content for Kids,support@durioo.com
151,History Hit,support@historyhit.com
152,Reel.AI,reelai.support@creativefitting.ai
153,Fawesome - Movies & TV Shows,biz@ifood.tv
154,Mubeat for kpop Lovers,support@mubeat.tv
155,Univision Now: Live TV,support@univisionnow.com
156,ShemarooMe,support@shemaroome.com
157,VOYO.si,podpora@voyo.si
158,Heavenly : BL GL drama movie,heavenly@amond.io
159,Serializd,humadvii@gmail.com
160,CL,support@mail.cl-live.com
161,KiKA: Videos für Kinder,kika@kika.de
162,Chaupal - Movies & Web Series,contact@chaupal.tv
163,SnackShort,snackshort.service@gmail.com
164,SVT Barn,kontakt@svt.se
165,Shasha,admin@shasha.com
166,Berliner Philharmoniker,help@digitalconcerthall.com
167,BestReels,bestreels@moboreader.com
168,muvi Cinemas,info@muvicinemas.com
169,TV 2 Play,kundeservice@tv2.dk
170,SHOWROOM-video live streaming,support@showroom.co.jp
171,"StarTimes ON for TV - Live,Vod",appservice@startimes.com.cn
172,2С TV,support@2ctv.tv
173,Lifetime: TV Shows & Movies,help@mylifetime.com
174,"FreeTV: Películas, Series y TV",Soporte@freetv.com
175,"FreeTV: Películas, Series y TV",support@freetv.com
176,Live TV,tcl.channel@tcl.com
177,Lite HD TV: Live TV Channels,support@limehd.tv
178,atv - Canlı TV - Dizi İzle,developer@tmgrup.com.tr
179,OmeTV – Video Chat Alternative,contact@ome.tv
180,TV Brasil - TV Ao Vivo,support@limexltd.com
181,H TV,truedigitalplatform@gmail.com
182,Bleusat ott international,bleusatott@gmail.com
183,TV México fútbol en vivo,milsapzutt@gmail.com
184,TV Stream - Watch Live TV,support@limexltd.com
185,+TV by IENTC,soporte@ientc.com
186,TVLive: Watch Live TV & Movies,developer@trinityglobal.io
187,TV Channel: Live TV and Movies,1987hoangvan@gmail.com
188,TV,princeolivier78@gmail.com
189,Same TV,info@sametv.so
190,ShortMax - Short Dramas & TV,shorttv.service@shorttv.live
191,ReelShort - Stream Drama & TV,reelshort.support@crazymaplestudio.com
192,TV Cast for Chromecast,info@video-tv-cast.com
193,Chaînes TV – Live TV Channels,support@limexltd.com
194,SmartThings,noreply.sec@samsung.com
195,TDTChannels | TV en directo,hola@tdtchannels.com
196,Remote for Android TV,support@simha.tech
197,DAZN - Watch Live Sports,help@dazn.com
198,IPTV Player - Smart Live TV,support@metaverselabs.ai
199,MX Player,support@mxplayer.in
200,TiviMate IPTV Player,support@tivimate.com
201,Kuku TV: Short Dramas & Series,support@kukufm.com
202,Prosto.TV for SMART TV,support@prosto.tv
203,FreeReels - Dramas & Reels,contact.freereels@gmail.com
204,Live TV Channels - Stream Live,maleekobansa@gmail.com
205,TelecomTV — TV channels online,telecomtv@life-stream.tv
206,Universal TV Remote for All TV,gp.feedback@boostvision.com.cn
207,YoTVChannels,support@yotvchannels.com
208,TV Digital: Live TV Online,support@limexltd.com
209,Televizo - IPTV player,televizoiptv@gmail.com
210,Yangi.TV+ (Smart TV),kinolartvllc@gmail.com
211,TV Mexico HD Lite,nickdevarmy@gmail.com
212,TV Cast for Android TV,info@video-tv-cast.com
213,Setanta Sports: Sports TV App,support@setantasports.com
214,Send files to TV,beyable.io@gmail.com
215,Live TV,appsfirefly@gmail.com
216,"iTV – кино, мультфильмы и ТВ",help@itv.uz
217,Mediabay,android@mediabay.tv
218,TVGarden - World Live TV,contact@traclou.com
219,TV Cast for Hisense VIDAA VEWD,info@video-tv-cast.com
220,NovaTV - Plot Dash,gabilunukvistad@gmail.com
221,Argentina Tv,argentinatvapp@gmail.com
222,TV-Browser Internet,hayer.apps@gmail.com
223,Mexico TV En vivo,support@utilityhub.online
224,Tevi,support@tevi.com
225,myTV SUPER,info@tvb.com
226,+TV Total,appsdev@cwpanama.com
227,YTV Player Pro,radoupali@gmail.com
228,Chile TV,fralegon.com@gmail.com
229,Tv Kenya: Kenyan Tv Channels,smoothradioapp@gmail.com
230,TV IZLE - TV Turkey,support@limexltd.com
231,TV Thai,info@fibregreen.co.th
232,Japanese Live TV  地上波テレビ番組,meshvalley@gmail.com
233,"실시간 TV - KBS, MBC, SBS, JTBC",developerkinglee@gmail.com
234,TV Abierta Argentina,noobpy.dev@proton.me
235,"DMB TV - 지상파,케이블,디엠비,SBS,MBC",atom.freetv@gmail.com
236,"실시간 TV - 지상파,케이블,DMB,SBS,MBC",rdhdevelop@gmail.com
237,NetShort - Popular Dramas & TV,netsshort@gmail.com
238,Canela.TV - Series y Películas,support@canelamedia.com
239,TV360 - TV en vivo Smart TV,servicioalcliente@viettelperu.com.pe
240,"Tonton - Videos, Drama & TV3",hello@tonton.com.my
